UnixTime(ms),ViewIndex,Eye,EyePosX,EyePosY,EyePosZ,EyeOrientX,EyeOrientY,EyeOrientZ,EyeOrientW
1756066384359,0,left,-0.03915669,1.05585448,0.00533454,-0.08254683,0.02123902,0.07054325,0.99386044
1756066384359,1,right,0.02583639,1.06483744,0.00179537,-0.08254683,0.02123902,0.07054325,0.99386044
1756066384370,0,left,-0.03916622,1.05586263,0.00535583,-0.08265482,0.02134718,0.07053320,0.99384986
1756066384370,1,right,0.02582643,1.06484271,0.00180167,-0.08265482,0.02134718,0.07053320,0.99384986
1756066384381,0,left,-0.03915757,1.05585916,0.00538117,-0.08271458,0.02147546,0.07057929,0.99383885
1756066384381,1,right,0.02583352,1.06484359,0.00180923,-0.08271458,0.02147546,0.07057929,0.99383885
1756066384392,0,left,-0.03915536,1.05585771,0.00539231,-0.08272148,0.02152189,0.07052356,0.99384123
1756066384392,1,right,0.02583650,1.06483436,0.00181484,-0.08272148,0.02152189,0.07052356,0.99384123
1756066384404,0,left,-0.03916663,1.05586647,0.00540486,-0.08291763,0.02156536,0.07043006,0.99383057
1756066384404,1,right,0.02582672,1.06482978,0.00182095,-0.08291763,0.02156536,0.07043006,0.99383057
1756066384415,0,left,-0.03917680,1.05587207,0.00540340,-0.08317830,0.02151840,0.07032001,0.99381760
1756066384415,1,right,0.02581884,1.06482066,0.00182444,-0.08317830,0.02151840,0.07032001,0.99381760
1756066384426,0,left,-0.03917717,1.05588175,0.00539469,-0.08327777,0.02155026,0.07037122,0.99380496
1756066384426,1,right,0.02581735,1.06483628,0.00181014,-0.08327777,0.02155026,0.07037122,0.99380496
1756066384437,0,left,-0.03918479,1.05589659,0.00536563,-0.08323770,0.02153031,0.07023463,0.99381841
1756066384437,1,right,0.02581237,1.06483375,0.00178550,-0.08323770,0.02153031,0.07023463,0.99381841
1756066384448,0,left,-0.03919132,1.05588646,0.00532577,-0.08316012,0.02153297,0.07020998,0.99382659
1756066384448,1,right,0.02580626,1.06482066,0.00174626,-0.08316012,0.02153297,0.07020998,0.99382659
1756066384459,0,left,-0.03919683,1.05588754,0.00529648,-0.08309891,0.02162174,0.07013735,0.99383491
1756066384459,1,right,0.02580158,1.06481154,0.00170671,-0.08309891,0.02162174,0.07013735,0.99383491
1756066384470,0,left,-0.03920552,1.05586987,0.00526900,-0.08294647,0.02166082,0.07020621,0.99384193
1756066384470,1,right,0.02579140,1.06480293,0.00167476,-0.08294647,0.02166082,0.07020621,0.99384193
